brand,model,number_2019,number_2018,number_2017,number_2016,number_2015,number_2014,number_2013
Think,City,0,0,0,0,0,5,3
Volvo,C30,0,0,0,0,0,5,27
Alfa Romeo,159,0,0,0,0,0,0,6
Alfa Romeo,8C,0,0,0,0,0,0,1
Alfa Romeo,Brera,0,0,0,0,0,0,2
Alpina,B3 GT3,0,0,0,0,0,0,1
Aston Martin,Virage,0,0,0,0,0,0,4
Cadillac,BLS,0,0,0,0,0,0,1
Chevrolet,Tahoe,0,0,0,0,0,0,2
Chevrolet,Traverse,0,0,0,0,0,0,1
Citroen,C6,0,0,0,0,0,0,9
Citroen,C-Crosser,0,0,0,0,0,0,4
Daihatsu,Sirion,0,0,0,0,0,0,1
Dodge,Nitro,0,0,0,0,0,0,1
Ferrari,599 GTB,0,0,0,0,0,0,1
Ford,Flex,0,0,0,0,0,0,2
Ford,Tourneo,0,0,0,0,0,0,343
Hummer,H3,0,0,0,0,0,0,1
Hyundai,iX 55,0,0,0,0,0,0,8
Iveco,Daily,0,0,0,0,0,0,4
Lancia,Musa,0,0,0,0,0,0,12
Mazda,CX-7,0,0,0,0,0,0,26
Mercedes-Benz,R-Klasse,0,0,0,0,0,0,23
Morgan,Aero Super Sports,0,0,0,0,0,0,2
Morgan,Roadster 3000,0,0,0,0,0,0,5
Nissan,Cube,0,0,0,0,0,0,2
Peugeot,407,0,0,0,0,0,0,1
Renault,Wind,0,0,0,0,0,0,10
Saab,9-3,0,0,0,0,0,0,3
Saab,9-5,0,0,0,0,0,0,4
Subaru,Justy,0,0,0,0,0,0,8
Tesla,Roadster,0,0,0,0,0,0,3
Toyota,FJ Cruiser,0,0,0,0,0,0,2
Toyota,Hiace,0,0,0,0,0,0,1
Volvo,S40,0,0,0,0,0,0,4
