brand,model,number_2019,number_2018,number_2017,number_2016,number_2015,number_2014,number_2013
Infiniti,QX30,15,34,54,72,0,0,0
Infiniti,QX70,5,4,35,101,59,26,1
Jaguar,E-Pace,999,961,0,0,0,0,0
Jaguar,F-Pace,456,570,764,791,0,0,0
Jaguar,F-Type,125,126,171,175,275,266,190
Jaguar,I-Pace,444,63,0,0,0,0,0
Jaguar,XE,106,127,178,436,333,0,0
Jaguar,XF,83,103,165,372,349,324,581
Jaguar,XJ,7,6,15,17,20,20,85
Jeep,Cherokee,508,428,406,798,916,668,14
Jeep,Compass,1607,1834,631,2,3,422,433
Jeep,Glatiator,2,0,0,0,0,0,0
Jeep,Grand Cherokee,1224,1249,1323,1180,1162,1595,1320
Jeep,Renegade,1216,814,891,0,0,0,0
Jeep,Wrangler,585,518,205,279,241,296,322
Kia,Carens,83,372,435,604,708,582,192
Kia,Cee'd,814,914,641,962,924,1182,1142
Kia,Niro,498,410,240,135,0,0,0
Kia,Optima,33,135,178,55,40,60,121
Kia,Picanto,879,828,585,1132,1053,793,425
Kia,Pro Cee'd,266,1,6,23,19,67,57
Kia,Rio,175,385,359,691,532,581,603
Kia,Sorento,202,289,246,456,655,339,252
Kia,Soul,75,78,135,278,345,178,180
Kia,Sportage,876,817,690,923,526,972,619
Kia,Stinger,143,243,60,0,0,0,0
Kia,Stonic,436,316,114,0,0,0,0
Kia,Venga,31,91,146,222,237,130,317
Lada,Vesta,2,0,0,0,0,0,0
Lamborghini,Aventador,35,24,34,37,24,31,24
Lamborghini,Huràcan,65,71,56,60,53,25,0
Lamborghini,Urus,124,48,0,0,0,0,0
Lancia,Ypsilon,2,1,4,83,116,230,273
Land Rover,Discovery,203,233,372,248,270,259,215
Land Rover,Discovery Sport,635,709,652,1169,652,0,0
Land Rover,Range Rover,316,283,292,341,371,360,513
Land Rover,Range Rover Evoque,1194,925,1111,1378,1432,1650,1861
Land Rover,Range Rover Sport,884,690,775,803,1065,1155,721
Land Rover,Range Rover Velar,753,966,344,0,0,0,0
Lexus,CT,108,167,76,84,97,203,160
Lexus,IS,21,24,34,31,75,148,160
Lexus,LC,16,22,11,0,0,0,0
Lexus,LS,6,9,4,11,5,7,11
Lexus,NX,197,287,223,326,614,241,0
Lexus,RC,11,11,21,20,32,0,0
Lexus,RX,172,208,306,362,102,198,254
Lexus,UX,405,0,0,0,0,0,0
Lotus,Elise,18,20,24,23,28,22,18
Lotus,Evora,8,15,12,22,13,14,24
Lotus,Exige,38,32,54,50,35,41,37
Maserati,Ghibli,109,185,270,385,525,537,45
Maserati,GranCabrio,19,27,31,31,41,46,39
Maserati,Granturismo,15,24,19,21,22,23,35
Maserati,Levante,215,330,534,282,0,0,0
Maserati,Quattroporte,17,34,62,56,107,116,59
Maserati,Stradale,1,0,0,0,0,0,0
Mazda,2,1703,1314,1914,2457,2627,1369,1697
Mazda,3,1005,1029,1326,1931,1850,2167,1634
Mazda,6,262,450,427,691,832,754,915
Mazda,CX-3,1075,1129,1412,2127,1258,0,0
Mazda,CX-30,470,0,0,0,0,0,0
Mazda,CX-5,1722,2037,2443,2426,2630,2663,2480
Mazda,CX-9,7,14,5,102,90,7,0
Mazda,MX-5,292,253,351,404,172,127,107
McLaren,570,14,29,29,27,0,0,0
McLaren,600,19,0,0,0,0,0,0
McLaren,540C,1,5,6,3,0,0,0
McLaren,675 LT,4,4,8,36,5,0,0
McLaren,720S,33,57,23,0,0,0,0
McLaren,GT-R,2,0,0,0,0,0,0
McLaren,MP4,1,0,0,0,0,0,0
McLaren,Senna,12,5,0,0,0,0,0
Mercedes-Benz,A-Klasse,4672,3268,3537,3186,3372,3302,3519
Mercedes-Benz,AMG GT,103,234,0,0,0,0,0
Mercedes-Benz,B-Klasse,1708,1293,1478,1694,2237,1918,2185
Mercedes-Benz,Citan,77,104,135,120,130,158,90
Mercedes-Benz,C-Klasse,4277,4330,4496,4542,4299,2498,3125
Mercedes-Benz,CLA-Klasse,1272,1344,1492,1731,1811,700,517
Mercedes-Benz,CLS-Klasse,282,279,171,250,500,465,637
Mercedes-Benz,E-Klasse,2281,2652,2797,1213,1548,1888,1635
Mercedes-Benz,EQC,152,0,0,0,0,0,0
Mercedes-Benz,G-Klasse,530,290,194,161,143,155,126
Mercedes-Benz,GLA-Klasse,2056,2280,2591,2834,3087,2627,1
Mercedes-Benz,GLC-Klasse,4743,4988,4219,3062,818,0,0
Mercedes-Benz,GLE-Klasse,1418,1474,1601,1814,585,0,0
Mercedes-Benz,GLS-Klasse,84,120,159,128,0,0,0
Mercedes-Benz,GT 4m,246,0,0,0,0,0,0
Mercedes-Benz,S-Klasse,338,584,501,557,776,678,189
Mercedes-Benz,SLC-Klasse,158,169,266,237,0,0,0
Mercedes-Benz,SL-Klasse,28,44,55,68,68,82,172
Mercedes-Benz,Sprinter,132,145,150,149,147,144,151
Mercedes-Benz,Vito,836,722,651,511,400,280,316
Mercedes-Benz,V-Klasse,1337,1336,1395,1327,1022,304,0
Mini,Cabrio,954,969,0,0,0,0,0
Mini,Clubman,457,602,0,0,0,0,0
Mini,Countryman,1629,2199,1718,0,0,0,0
Mini,Hatch,1894,1943,0,0,0,0,0
Mitsubishi,ASX,592,505,767,996,1268,1038,1098
Mitsubishi,Eclipse Cross,964,1162,102,0,0,0,0
Mitsubishi,i-MiEV,86,104,39,65,48,84,110
Mitsubishi,Lancer,5,56,119,156,295,387,337
Mitsubishi,Outlander,962,902,632,809,825,802,787
Mitsubishi,Pajero,128,469,326,388,408,288,258
Mitsubishi,Space Star,1570,1336,1052,1412,1070,803,332
Morgan,4/4,2,3,2,3,1,4,10
Morgan,Plus 4,12,10,7,12,11,11,10
Morgan,Plus 6,4,0,0,0,0,0,0
Morgan,Roadster,7,4,3,1,5,4,0
Nissan,370Z,26,22,44,56,68,54,70
Nissan,GT-R,11,23,33,30,38,46,52
Nissan,Juke,293,515,685,948,1232,1305,1507
Nissan,Leaf,536,428,131,158,145,106,178
Nissan,Micra,1124,796,946,580,882,885,950
Nissan,NV200,213,260,278,260,271,224,300
Nissan,NV300,39,71,111,3,0,0,0
Nissan,NV400,12,5,16,9,8,9,5
Nissan,Pulsar,76,243,306,533,732,229,0
Nissan,Qashqai,1916,1530,2157,2360,3038,2724,3432
Nissan,X-Trail,609,801,1496,671,712,388,141
Opel,Adam,323,364,533,733,1093,1086,1192
Opel,Ampera,101,213,398,33,56,72,71
Opel,Astra,1394,1808,2635,3260,2129,2291,2821
Opel,Cascada,35,58,98,117,175,244,259
Opel,Combo,342,96,42,77,99,122,244
Opel,Corsa,1885,1656,2181,2390,2936,2217,2316
Opel,Crossland,1914,1612,840,0,0,0,0
Opel,Grandland,1040,1121,224,0,0,0,0
Opel,Insignia,449,949,965,695,1010,1232,1053
Opel,Karl,101,197,503,713,437,0,0
Opel,Meriva,1,0,241,545,870,1382,1261
Opel,Mokka,1433,2697,3822,3023,2921,2710,2617
Opel,Movano,11,17,17,15,21,23,29
Opel,Vivaro,182,476,529,398,414,183,217
Opel,Zafira,640,666,997,1136,1368,1320,1439
Peugeot,108,448,614,692,817,1217,509,0
Peugeot,208,1802,2105,2085,2501,3095,3319,4148
Peugeot,308,1462,1590,1855,2360,3115,2615,1841
Peugeot,508,535,98,268,418,499,509,639
Peugeot,2008,1017,1346,1749,2130,2309,2014,1047
Peugeot,3008,1585,2239,1898,964,781,792,838
Peugeot,5008,838,996,876,410,473,454,619
Peugeot,Boxer,11,7,11,26,17,14,21
Peugeot,Expert,354,413,276,14,171,118,150
Peugeot,iOn,18,72,22,34,20,7,10
Peugeot,Rifter,544,76,0,0,0,0,0
Peugeot,Traveller,3,10,51,46,0,0,0
Porsche,911,854,1081,948,1096,1027,916,942
Porsche,Boxster,135,109,175,266,170,161,238
Porsche,Cayenne,932,717,539,734,894,574,999
Porsche,Cayman,88,90,90,173,146,83,106
Porsche,Macan,1524,1118,1678,1795,1875,1216,0
Porsche,Panamera,327,449,535,173,168,199,232
Renault,Captur,1765,2275,2133,2012,2193,1800,1147
Renault,Clio,2054,2424,2719,3021,4031,3224,3611
Renault,Espace,411,432,555,1122,980,386,529
Renault,Kadjar,781,590,955,1487,871,0,0
Renault,Kangoo,92,387,408,391,465,539,660
Renault,Koleos,408,753,647,5,193,507,919
Renault,Master,18,27,28,32,34,40,41
Renault,Megane,2119,2106,2516,3052,2076,1920,2650
Renault,Scenic,1122,1594,1882,1088,1877,1693,1992
Renault,Talisman,324,332,535,660,0,0,0
Renault,Trafic,375,504,313,479,392,253,429
Renault,Twingo,445,397,440,531,1124,790,796
Renault,Zoe,1804,908,741,406,478,381,342
Rolls Royce,Cullinan,27,6,0,0,0,0,0
Rolls Royce,Dawn,10,17,17,19,0,0,0
Rolls Royce,Ghost,7,4,4,5,6,7,13
Rolls Royce,Phantom,6,5,4,6,5,8,15
Rolls Royce,Wraith,12,12,14,16,20,34,7
Seat,Alhambra,2899,2524,3662,3484,3543,2625,2522
