year,country,motor_energy,engine,cars,cars_normalized,population,pop_normalized,ratio
1991-01-01,Norway,Total,Total,1615000.0,100.12399256044637,4249830.0,100.39483916812107,38.0
1991-01-01,Switzerland,Total,Total,3058000.0,102.44556113902847,6757188.0,101.24872449935194,45.3
1992-01-01,Belgium,Total,Total,4021000.0,104.0631469979296,10021997.0,100.7460457014438,40.1
1992-01-01,Bulgaria,Total,Total,1411000.0,107.13743356112377,8595465.0,98.03995707690434,16.4
1992-01-01,Denmark,Total,Total,1605000.0,100.9433962264151,5162126.0,100.52025067526267,31.1
1992-01-01,Estonia,Total,Total,283469.0,117.29881157309323,1554878.0,98.99904431366632,18.2
1992-01-01,Ireland,Total,Total,858498.0,107.61990841317616,3547492.0,101.15547039181972,24.2
1992-01-01,Greece,Total,Total,1829000.0,105.35714285714286,10367163.0,102.43329342907721,17.6
1992-01-01,Spain,Total,Total,13102000.0,109.21973991330442,39051336.0,100.50989072284781,33.6
1992-01-01,France,Total,Total,24020000.0,101.99575371549894,58604851.0,100.99165771114839,41.0
1992-01-01,Croatia,Total,Total,669761.0,84.24666666666667,4595865.0,96.29776999997486,14.6
1992-01-01,Italy,Total,Total,29430000.0,107.34607528450539,56772923.0,100.13857286686012,51.8
1992-01-01,Cyprus,Total,Total,198000.0,110.6145251396648,603069.0,105.31105115645545,32.8
1992-01-01,Latvia,Total,Total,350000.0,105.47347040866451,2643000.0,99.05777058175357,13.2
1992-01-01,Lithuania,Total,Total,565320.0,114.67402328694875,3706299.0,100.34087697240821,15.3
1992-01-01,Luxembourg,Total,Total,209000.0,108.85416666666667,389600.0,102.7155286053256,53.6
1992-01-01,Hungary,Total,Total,2058334.0,105.85126761780215,10373647.0,99.98866486686086,19.8
1992-01-01,Malta,Total,Total,125037.0,114.57514363471424,365781.0,103.78827001106603,34.2
1992-01-01,Netherlands,Total,Total,5658000.0,102.7046650934834,15129150.0,101.5885501055761,37.4
1992-01-01,Austria,Total,Total,3245000.0,108.49214309595455,7798899.0,102.01549598695483,41.6
1992-01-01,Poland,Total,Total,6504716.0,123.64861653872927,38309226.0,100.71197258202453,17.0
1992-01-01,Portugal,Total,Total,3050000.0,119.5141065830721,9950029.0,99.54015583241087,30.7
1992-01-01,Romania,Total,Total,1593029.0,126.13056215360254,22810035.0,98.27084929621851,7.0
1992-01-01,Slovenia,Total,Total,606000.0,104.79570026354563,1998912.0,100.12698002431404,30.3
1992-01-01,Slovakia,Total,Total,953239.0,74.80819999937218,5295877.0,100.15534272891446,18.0
1992-01-01,Finland,Total,Total,1936000.0,99.8452810727179,5029002.0,101.0980055214888,38.5
1992-01-01,Sweden,Total,Total,3587000.0,99.63888888888889,8644120.0,101.3730557582767,41.5
1992-01-01,United Kingdom,Total,Total,20970000.0,101.19679567609303,57511594.0,100.6204352462898,36.5
1992-01-01,Iceland,Total,Total,120000.0,100.0,259727.0,102.34135193175327,46.2
