brand,year,cars
Tazzari,2015-01-01,2
Tesla,2015-01-01,1556
Think,2015-01-01,0
Toyota,2015-01-01,9870
VW,2015-01-01,42208
Volvo,2015-01-01,7251
Alfa Romeo,2016-01-01,1508
Alpina,2016-01-01,73
Alpine,2016-01-01,0
Aston Martin,2016-01-01,127
Audi,2016-01-01,19578
BMW,2016-01-01,24702
Bentley,2016-01-01,219
Bugatti,2016-01-01,3
Cadillac,2016-01-01,228
Caterham,2016-01-01,27
Chevrolet,2016-01-01,237
Chrysler,2016-01-01,6
Citroen,2016-01-01,9071
DS,2016-01-01,0
Dacia,2016-01-01,7422
Daihatsu,2016-01-01,0
Diverse,2016-01-01,82
Dodge,2016-01-01,158
Ferrari,2016-01-01,372
Fiat,2016-01-01,8757
Fisker,2016-01-01,1
Ford,2016-01-01,13081
Honda,2016-01-01,4773
Hummer,2016-01-01,0
Hyundai,2016-01-01,9075
Infiniti,2016-01-01,619
Iveco,2016-01-01,0
Jaguar,2016-01-01,1791
Jeep,2016-01-01,3268
KTM,2016-01-01,0
Kia,2016-01-01,5481
Lada,2016-01-01,8
Lamborghini,2016-01-01,98
Lancia,2016-01-01,83
Land Rover,2016-01-01,3939
Lexus,2016-01-01,863
Lotus,2016-01-01,95
Maserati,2016-01-01,783
Mazda,2016-01-01,10170
McLaren,2016-01-01,85
Mercedes-Benz,2016-01-01,23839
Mini,2016-01-01,5267
Mitsubishi,2016-01-01,3872
Morgan,2016-01-01,16
Nissan,2016-01-01,6037
Opel,2016-01-01,13184
Peugeot,2016-01-01,10385
Porsche,2016-01-01,4240
Renault,2016-01-01,14299
Rolls Royce,2016-01-01,46
Saab,2016-01-01,0
Seat,2016-01-01,10136
Secma,2016-01-01,0
Skoda,2016-01-01,21059
Smart,2016-01-01,2770
Ssangyong,2016-01-01,968
Stimbo,2016-01-01,2
Subaru,2016-01-01,5419
Suzuki,2016-01-01,7646
Tazzari,2016-01-01,4
Tesla,2016-01-01,1701
Think,2016-01-01,0
Toyota,2016-01-01,10378
VW,2016-01-01,42137
Volvo,2016-01-01,7130
Alfa Romeo,2017-01-01,3288
Alpina,2017-01-01,50
Alpine,2017-01-01,0
Aston Martin,2017-01-01,215
Audi,2017-01-01,20615
BMW,2017-01-01,24865
Bentley,2017-01-01,261
Bugatti,2017-01-01,2
Cadillac,2017-01-01,218
Caterham,2017-01-01,27
Chevrolet,2017-01-01,343
Chrysler,2017-01-01,26
Citroen,2017-01-01,7084
DS,2017-01-01,680
Dacia,2017-01-01,8555
Daihatsu,2017-01-01,0
Diverse,2017-01-01,94
Dodge,2017-01-01,240
Ferrari,2017-01-01,355
Fiat,2017-01-01,10351
Fisker,2017-01-01,0
Ford,2017-01-01,13880
Honda,2017-01-01,3971
Hummer,2017-01-01,0
Hyundai,2017-01-01,8598
Infiniti,2017-01-01,286
Iveco,2017-01-01,0
Jaguar,2017-01-01,1293
Jeep,2017-01-01,3456
KTM,2017-01-01,0
Kia,2017-01-01,3835
Lada,2017-01-01,24
Lamborghini,2017-01-01,90
Lancia,2017-01-01,4
Land Rover,2017-01-01,3546
Lexus,2017-01-01,689
Lotus,2017-01-01,90
Maserati,2017-01-01,917
Mazda,2017-01-01,7878
McLaren,2017-01-01,67
Mercedes-Benz,2017-01-01,26079
Mini,2017-01-01,5689
Mitsubishi,2017-01-01,3077
Morgan,2017-01-01,12
Nissan,2017-01-01,6379
Opel,2017-01-01,14042
Peugeot,2017-01-01,10205
Porsche,2017-01-01,3965
Renault,2017-01-01,13873
Rolls Royce,2017-01-01,39
Saab,2017-01-01,0
Seat,2017-01-01,12052
Secma,2017-01-01,0
Skoda,2017-01-01,20580
Smart,2017-01-01,2327
Ssangyong,2017-01-01,806
Stimbo,2017-01-01,3
Subaru,2017-01-01,4986
Suzuki,2017-01-01,8227
Tazzari,2017-01-01,0
Tesla,2017-01-01,2024
Think,2017-01-01,0
Toyota,2017-01-01,10300
VW,2017-01-01,35973
Volvo,2017-01-01,7497
Alfa Romeo,2018-01-01,3616
Alpina,2018-01-01,62
Alpine,2018-01-01,146
Aston Martin,2018-01-01,162
Audi,2018-01-01,18374
BMW,2018-01-01,24227
Bentley,2018-01-01,221
Bugatti,2018-01-01,7
Cadillac,2018-01-01,233
Caterham,2018-01-01,23
Chevrolet,2018-01-01,248
Chrysler,2018-01-01,49
Citroen,2018-01-01,6415
DS,2018-01-01,747
Dacia,2018-01-01,8301
Daihatsu,2018-01-01,0
Diverse,2018-01-01,121
Dodge,2018-01-01,209
Ferrari,2018-01-01,373
Fiat,2018-01-01,9170
Fisker,2018-01-01,0
Ford,2018-01-01,15179
Honda,2018-01-01,3702
Hummer,2018-01-01,0
Hyundai,2018-01-01,8199
Infiniti,2018-01-01,127
Iveco,2018-01-01,0
Jaguar,2018-01-01,1956
Jeep,2018-01-01,4843
KTM,2018-01-01,0
Kia,2018-01-01,4879
Lada,2018-01-01,10
Lamborghini,2018-01-01,143
Lancia,2018-01-01,1
Land Rover,2018-01-01,3806
Lexus,2018-01-01,734
Lotus,2018-01-01,67
Maserati,2018-01-01,600
Mazda,2018-01-01,6226
McLaren,2018-01-01,100
Mercedes-Benz,2018-01-01,25656
Mini,2018-01-01,5713
Mitsubishi,2018-01-01,4549
Morgan,2018-01-01,17
Nissan,2018-01-01,4718
Opel,2018-01-01,11930
Peugeot,2018-01-01,9709
Porsche,2018-01-01,3564
Renault,2018-01-01,12729
Rolls Royce,2018-01-01,44
Saab,2018-01-01,0
Seat,2018-01-01,11468
Secma,2018-01-01,4
Skoda,2018-01-01,19160
Smart,2018-01-01,2025
Ssangyong,2018-01-01,773
Stimbo,2018-01-01,1
Subaru,2018-01-01,4681
Suzuki,2018-01-01,7673
Tazzari,2018-01-01,0
Tesla,2018-01-01,1463
Think,2018-01-01,0
Toyota,2018-01-01,9498
VW,2018-01-01,32944
Volvo,2018-01-01,8121
Alfa Romeo,2019-01-01,2881
Alpina,2019-01-01,55
Alpine,2019-01-01,183
Aston Martin,2019-01-01,180
Audi,2019-01-01,18702
BMW,2019-01-01,24818
Bentley,2019-01-01,231
Bugatti,2019-01-01,12
Cadillac,2019-01-01,116
Caterham,2019-01-01,17
Chevrolet,2019-01-01,407
Chrysler,2019-01-01,31
Citroen,2019-01-01,6072
DS,2019-01-01,555
Dacia,2019-01-01,7995
Daihatsu,2019-01-01,0
Diverse,2019-01-01,93
Dodge,2019-01-01,385
Ferrari,2019-01-01,415
Fiat,2019-01-01,8386
Fisker,2019-01-01,0
Ford,2019-01-01,14145
Honda,2019-01-01,4062
Hummer,2019-01-01,0
Hyundai,2019-01-01,8685
Infiniti,2019-01-01,126
Iveco,2019-01-01,0
Jaguar,2019-01-01,2220
Jeep,2019-01-01,5142
KTM,2019-01-01,0
Kia,2019-01-01,4511
Lada,2019-01-01,2
Lamborghini,2019-01-01,224
Lancia,2019-01-01,2
Land Rover,2019-01-01,3985
Lexus,2019-01-01,936
Lotus,2019-01-01,64
Maserati,2019-01-01,376
Mazda,2019-01-01,6536
McLaren,2019-01-01,86
Mercedes-Benz,2019-01-01,26730
Mini,2019-01-01,4934
Mitsubishi,2019-01-01,4307
Morgan,2019-01-01,25
Nissan,2019-01-01,4855
Opel,2019-01-01,9851
Peugeot,2019-01-01,8617
Porsche,2019-01-01,3860
Renault,2019-01-01,11718
Rolls Royce,2019-01-01,62
Saab,2019-01-01,0
Seat,2019-01-01,14377
Secma,2019-01-01,0
Skoda,2019-01-01,24103
Smart,2019-01-01,1738
Ssangyong,2019-01-01,791
Stimbo,2019-01-01,0
Subaru,2019-01-01,4023
Suzuki,2019-01-01,8426
Tazzari,2019-01-01,0
Tesla,2019-01-01,6061
Think,2019-01-01,0
Toyota,2019-01-01,11053
VW,2019-01-01,34441
Volvo,2019-01-01,8858
