"TIME","GEO","INDIC_DE","Value"
"1993","European Union - 28 countries (2013-2020)","Population on 1 January - total","479 561 788"
"1993","Belgium","Population on 1 January - total","10 068 319"
"1993","Bulgaria","Population on 1 January - total","8 484 863"
"1993","Czechia","Population on 1 January - total","10 325 697"
"1993","Denmark","Population on 1 January - total","5 180 614"
"1993","Germany including former GDR","Population on 1 January - total","80 974 632"
"1993","Estonia","Population on 1 January - total","1 511 303"
"1993","Ireland","Population on 1 January - total","3 569 367"
"1993","Greece","Population on 1 January - total","10 430 958"
"1993","Spain","Population on 1 January - total","39 264 034"
"1993","France","Population on 1 January - total","58 885 929"
"1993","Croatia","Population on 1 January - total","4 555 771"
"1993","Italy","Population on 1 January - total","56 821 250"
"1993","Cyprus","Population on 1 January - total","619 231"
"1993","Latvia","Population on 1 January - total","2 585 675"
"1993","Lithuania","Population on 1 January - total","3 693 929"
"1993","Luxembourg","Population on 1 January - total","394 750"
"1993","Hungary","Population on 1 January - total","10 365 035"
"1993","Malta","Population on 1 January - total","369 455"
"1993","Netherlands","Population on 1 January - total","15 239 182"
"1993","Austria","Population on 1 January - total","7 882 519"
"1993","Poland","Population on 1 January - total","38 418 108"
"1993","Portugal","Population on 1 January - total","9 954 958"
"1993","Romania","Population on 1 January - total","22 778 533"
"1993","Slovenia","Population on 1 January - total","1 994 084"
"1993","Slovakia","Population on 1 January - total","5 314 155"
"1993","Finland","Population on 1 January - total","5 054 982"
"1993","Sweden","Population on 1 January - total","8 692 013"
"1993","United Kingdom","Population on 1 January - total","57 649 210"
"1993","Iceland","Population on 1 January - total","262 386"
"1993","Liechtenstein","Population on 1 January - total","29 868"
"1993","Norway","Population on 1 January - total","4 299 167"
"1993","Switzerland","Population on 1 January - total","6 907 959"
"1994","European Union - 27 countries (from 2020)","Population on 1 January - total","423 104 986"
"1994","European Union - 28 countries (2013-2020)","Population on 1 January - total","480 893 003"
"1994","Belgium","Population on 1 January - total","10 100 631"
"1994","Bulgaria","Population on 1 January - total","8 459 763"
"1994","Czechia","Population on 1 January - total","10 334 013"
"1994","Denmark","Population on 1 January - total","5 196 642"
"1994","Germany including former GDR","Population on 1 January - total","81 338 093"
"1994","Estonia","Population on 1 January - total","1 476 952"
"1994","Ireland","Population on 1 January - total","3 583 154"
"1994","Greece","Population on 1 January - total","10 489 871"
"1994","Spain","Population on 1 January - total","39 458 489"
"1994","France","Population on 1 January - total","59 104 320"
"1994","Croatia","Population on 1 January - total","4 645 155"
"1994","Italy","Population on 1 January - total","56 842 392"
"1994","Cyprus","Population on 1 January - total","632 944"
"1994","Latvia","Population on 1 January - total","2 540 904"
"1994","Lithuania","Population on 1 January - total","3 671 296"
"1994","Luxembourg","Population on 1 January - total","400 200"
"1994","Hungary","Population on 1 January - total","10 350 010"
"1994","Malta","Population on 1 January - total","373 161"
"1994","Netherlands","Population on 1 January - total","15 341 553"
"1994","Austria","Population on 1 January - total","7 928 746"
"1994","Poland","Population on 1 January - total","38 504 707"
"1994","Portugal","Population on 1 January - total","9 974 391"
"1994","Romania","Population on 1 January - total","22 748 027"
"1994","Slovenia","Population on 1 January - total","1 989 408"
"1994","Slovakia","Population on 1 January - total","5 336 455"
"1994","Finland","Population on 1 January - total","5 077 912"
"1994","Sweden","Population on 1 January - total","8 745 109"
"1994","United Kingdom","Population on 1 January - total","57 788 017"
"1994","Iceland","Population on 1 January - total","265 064"
"1994","Liechtenstein","Population on 1 January - total","30 310"
"1994","Norway","Population on 1 January - total","4 324 815"
"1994","Switzerland","Population on 1 January - total","6 968 570"
"1995","European Union - 27 countries (from 2020)","Population on 1 January - total","423 960 534"
"1995","European Union - 28 countries (2013-2020)","Population on 1 January - total","481 904 006"
"1995","Belgium","Population on 1 January - total","10 130 574"
"1995","Bulgaria","Population on 1 January - total","8 427 418"
"1995","Czechia","Population on 1 January - total","10 333 161"
"1995","Denmark","Population on 1 January - total","5 215 718"
"1995","Germany including former GDR","Population on 1 January - total","81 538 603"
"1995","Estonia","Population on 1 January - total","1 448 075"
"1995","Ireland","Population on 1 January - total","3 597 617"
"1995","Greece","Population on 1 January - total","10 535 973"
"1995","Spain","Population on 1 January - total","39 639 726"
"1995","France","Population on 1 January - total","59 315 139"
"1995","Croatia","Population on 1 January - total","4 658 893"
"1995","Italy","Population on 1 January - total","56 844 408"
"1995","Cyprus","Population on 1 January - total","645 399"
"1995","Latvia","Population on 1 January - total","2 500 580"
"1995","Lithuania","Population on 1 January - total","3 642 991"
"1995","Luxembourg","Population on 1 January - total","405 650"
"1995","Hungary","Population on 1 January - total","10 336 700"
"1995","Malta","Population on 1 January - total","376 433"
"1995","Netherlands","Population on 1 January - total","15 424 122"
"1995","Austria","Population on 1 January - total","7 943 489"
"1995","Poland","Population on 1 January - total","38 580 597"
"1995","Portugal","Population on 1 January - total","10 008 659"
"1995","Romania","Population on 1 January - total","22 712 394"
"1995","Slovenia","Population on 1 January - total","1 989 477"
"1995","Slovakia","Population on 1 January - total","5 356 207"
"1995","Finland","Population on 1 January - total","5 098 754"
"1995","Sweden","Population on 1 January - total","8 816 381"
"1995","United Kingdom","Population on 1 January - total","57 943 472"
"1995","Iceland","Population on 1 January - total","266 978"
"1995","Liechtenstein","Population on 1 January - total","30 629"
"1995","Norway","Population on 1 January - total","4 348 410"
"1995","Switzerland","Population on 1 January - total","7 019 019"
"1996","European Union - 27 countries (from 2020)","Population on 1 January - total","424 641 798"
"1996","European Union - 28 countries (2013-2020)","Population on 1 January - total","482 736 385"
